"Ranking","Rangking.Provinsi","Nilai.Total","NPSN","Sekolah","Provinsi","Kab.Kota","Jenis"
88,29,565.228,"20100799","SMAS SANTO YAKOBUS JAKARTA","DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
89,30,564.86,"20101589","SMAN 65 JAKARTA","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
90,14,564.821,"20220343","SMAS REGINA PACIS","JAWA BARAT","KOTA BOGOR","SMA"
91,31,564.735,"20102193","SMAN 47 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
92,9,564.457,"20402126","SMAN 1 WONOSARI","DI YOGYAKARTA","KAB. GUNUNG KIDUL","SMA"
93,9,564.32,"20328867","SMA NEGERI 01","JAWA TENGAH","KOTA SEMARANG","SMA"
94,10,563.852,"20328447","SMAN 1 SALATIGA","JAWA TENGAH","KOTA SALATIGA","SMA"
95,15,563.837,"20252198","SMA TALENTA","JAWA BARAT","KAB. BANDUNG","SMA"
96,13,563.729,"20532237","SMAN 15 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
97,32,563.109,"20103283","SMAN 21 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
98,33,563.087,"20102570","SMAN 70 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
99,11,563.002,"20613524","SMAS TARAKANITA GADING SERPONG","BANTEN","KAB. TANGERANG","SMA"
100,11,562.953,"20321438","SMA NEGERI 1 TEMANGGUNG","JAWA TENGAH","KAB. TEMANGGUNG","SMA"
101,14,562.854,"20504500","SMAN 1 BOJONEGORO","JAWA TIMUR","KAB. BOJONEGORO","SMA"
102,12,562.809,"20308449","SMAN 1 BOYOLALI","JAWA TENGAH","KAB. BOYOLALI","SMA"
103,10,562.761,"20400381","SMA NEGERI 2 BANTUL","DI YOGYAKARTA","KAB. BANTUL","SMA"
104,13,562.506,"20327968","SMAN 3 SURAKARTA","JAWA TENGAH","KOTA SURAKARTA","SMA"
105,16,562.431,"20220332","SMAN 3 BOGOR","JAWA BARAT","KOTA BOGOR","SMA"
106,34,562.359,"20112503","SMAS K CALVIN","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
107,11,562.218,"20401145","SMAN 1 KALASAN","DI YOGYAKARTA","KAB. SLEMAN","SMA"
108,3,562.217,"10259371","SMAS METHODIST 3 MEDAN","SUMATERA UTARA","KOTA MEDAN","SMA"
109,15,562.183,"20534124","SMAN 2 MADIUN","JAWA TIMUR","KOTA MADIUN","SMA"
110,14,561.635,"20307712","SMAN 1 MUNTILAN","JAWA TENGAH","KAB. MAGELANG","SMA"
111,12,561.133,"20607805","SMAN CMBBS","BANTEN","KAB. PANDEGLANG","SMA"
112,17,560.911,"69986554","SMA KRISTEN PENABUR KOTA JABABEKA","JAWA BARAT","KAB. BEKASI","SMA"
113,35,560.881,"20101332","SMAS BUNDA HATI KUDUS","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
114,36,560.701,"20100806","SMAN 13 JAKARTA","DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
115,13,560.653,"20613477","SMAN 2 KOTA TANGERANG SELATAN","BANTEN","KOTA TANGERANG SELATAN","SMA"
116,1,560.577,"10100170","SMA NEGERI MODAL BANGSA","ACEH","KAB. ACEH BESAR","SMA"
117,18,560.563,"20247147","SMAS PESANTREN UNGGUL AL BAYAN","JAWA BARAT","KAB. SUKABUMI","SMA"
118,15,560.374,"20329517","SMA Negeri 1 Pekalongan","JAWA TENGAH","KOTA PEKALONGAN","SMA"
