"Ranking","Rangking.Provinsi","Nilai.Total","NPSN","Sekolah","Provinsi","Kab.Kota","Jenis"
271,47,543.052,"20341554","SMAS IT NURHIDAYAH","JAWA TENGAH","KAB. SUKOHARJO","SMA"
272,59,542.846,"20102575","SMAN 55 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
273,2,542.757,"69976494","MAN INSAN CENDEKIA TANAH LAUT","KALIMANTAN SELATAN","KAB. TANAH LAUT","MA"
274,35,542.618,"20517730","SMAN 1 KEPANJEN","JAWA TIMUR","KAB. MALANG","SMA"
275,25,542.576,"20402137","SMAN 2 WONOSARI","DI YOGYAKARTA","KAB. GUNUNG KIDUL","SMA"
276,8,542.501,"10210923","SMAS SANTO THOMAS 1 MEDAN","SUMATERA UTARA","KOTA MEDAN","SMA"
277,1,542.493,"10807063","SMAN 2 BANDAR LAMPUNG","LAMPUNG","KOTA BANDAR LAMPUNG","SMA"
278,20,542.32,"20605093","SMAN 1 KOTA SERANG","BANTEN","KOTA SERANG","SMA"
279,36,542.257,"20580045","MAN 2 Kota Kediri","JAWA TIMUR","KOTA KEDIRI","MA"
280,60,542.253,"20102571","SMAN 66 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
281,48,542.24,"20328912","SMA SEMESTA","JAWA TENGAH","KOTA SEMARANG","SMA"
282,37,542.211,"20536288","SMAN 1 PROBOLINGGO","JAWA TIMUR","KOTA PROBOLINGGO","SMA"
283,4,542.156,"69975889","MAN INSAN CENDEKIA KOTA BATAM","KEPULAUAN RIAU","KOTA BATAM","MA"
284,21,542.096,"20606833","SMAS STRADA ST AQUINO","BANTEN","KOTA TANGERANG","SMA"
285,47,542.045,"20231283","SMAS BUNDA HATI KUDUS","JAWA BARAT","KAB. BOGOR","SMA"
286,38,541.971,"69964214","SMA NEGERI TARUNA NALA JAWA TIMUR","JAWA TIMUR","KOTA MALANG","SMA"
287,39,541.968,"20535464","UPT SMA NEGERI 1 PASURUAN","JAWA TIMUR","KOTA PASURUAN","SMA"
288,61,541.904,"20102574","SMAN 6 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
289,48,541.715,"20252852","SMAS AL KAHFI","JAWA BARAT","KAB. BOGOR","SMA"
290,40,541.706,"20501701","SMAN 3 SIDOARJO","JAWA TIMUR","KAB. SIDOARJO","SMA"
291,41,541.698,"20536817","SMAN 1 BATU","JAWA TIMUR","KOTA BATU","SMA"
292,62,541.539,"20103309","SMAN 58 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
293,63,541.505,"20101623","SMAN 19 JAKARTA","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
294,26,541.497,"20402778","SMA NEGERI 2 WATES","DI YOGYAKARTA","KAB. KULON PROGO","SMA"
295,5,541.488,"50102079","SMAN 1 GIANYAR","BALI","KAB. GIANYAR","SMA"
296,49,541.479,"20231312","SMAS MADANIA","JAWA BARAT","KAB. BOGOR","SMA"
297,22,541.401,"20606516","SMAS MUTIARA BANGSA","BANTEN","KOTA TANGERANG","SMA"
298,1,541.33,"50204503","SMA NEGERI 1 MATARAM","NUSA TENGGARA BARAT","KOTA MATARAM","SMA"
299,23,541.272,"69754032","SMAS INSAN CENDEKIA MADANI","BANTEN","KOTA TANGERANG SELATAN","SMA"
300,27,541.131,"20403145","SMAS STELLA DUCE 1","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
301,1,540.957,"69756117","SMAS AL - AZHAR MANDIRI PALU","SULAWESI TENGAH","KOTA PALU","SMA"
302,50,540.94,"20219795","SMAS KALAM KUDUS","JAWA BARAT","KOTA BANDUNG","SMA"
303,42,540.925,"20549721","SMAS AL HIKMAH SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
304,28,540.924,"20400390","SMA NEGERI 1 KASIHAN","DI YOGYAKARTA","KAB. BANTUL","SMA"
305,49,540.833,"20307714","SMAN 1 KOTA MUNGKID","JAWA TENGAH","KAB. MAGELANG","SMA"
306,43,540.794,"20532247","SMAN 4 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
307,51,540.774,"20220324","SMAS BPK PENABUR","JAWA BARAT","KOTA BOGOR","SMA"
308,50,540.699,"20327987","SMAS REGINA PACIS SURAKARTA","JAWA TENGAH","KOTA SURAKARTA","SMA"
309,51,540.498,"20324216","SMAN 1 PEMALANG","JAWA TENGAH","KAB. PEMALANG","SMA"
310,64,540.417,"20103298","SMAN 44 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
311,52,540.267,"69968020","SMA AL AZHAR SYIFA BUDI PARAHYANGAN","JAWA BARAT","KAB. BANDUNG BARAT","SMA"
312,52,540.13,"20314885","SMAN 1 BLORA","JAWA TENGAH","KAB. BLORA","SMA"
313,24,540.067,"20603349","SMAS K ORA ET LABORA BSD","BANTEN","KOTA TANGERANG SELATAN","SMA"
314,53,539.901,"20276323","MAS NUURUL QUR AN","JAWA BARAT","KAB. BOGOR","MA"
315,65,539.838,"20101301","SMAS REGINA PACIS","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
316,66,539.798,"20102219","SMAN 109 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
317,54,539.747,"20258396","SMAS IT AS-SYIFA BOARDING SCHOOL","JAWA BARAT","KAB. SUBANG","SMA"
318,29,539.742,"20407427","SMK SMTI","DI YOGYAKARTA","KOTA YOGYAKARTA","SMK"
319,1,539.706,"10702412","SMAN 5 BENGKULU","BENGKULU","KOTA BENGKULU","SMA"
320,53,539.59,"20327970","SMAN 5 SURAKARTA","JAWA TENGAH","KOTA SURAKARTA","SMA"
321,55,539.582,"20247152","SMAS INSAN CENDEKIA  AL KAUSAR","JAWA BARAT","KAB. SUKABUMI","SMA"
322,44,539.574,"20510150","SMAN 1 PONOROGO","JAWA TIMUR","KAB. PONOROGO","SMA"
323,45,539.483,"20542500","SMA NEGERI 1 TRENGGALEK","JAWA TIMUR","KAB. TRENGGALEK","SMA"
324,2,539.446,"40311951","SMAN 17 MAKASSAR","SULAWESI SELATAN","KOTA MAKASSAR","SMA"
325,46,539.435,"69857710","SMA TRENSAINS TEBUIRENG","JAWA TIMUR","KAB. JOMBANG","SMA"
326,54,539.341,"20315697","SMA NEGERI 1 REMBANG","JAWA TENGAH","KAB. REMBANG","SMA"
327,56,539.281,"20223075","SMAS MARSUDIRINI","JAWA BARAT","KOTA BEKASI","SMA"
328,67,539.235,"20103257","SMAN 98 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
329,47,539.211,"20532244","SMAN 11 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
330,68,539.176,"20103310","SMAN 54 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
331,5,539.113,"69941598","MAN INSAN CENDEKIA SIAK","RIAU","KAB. SIAK","MA"
332,57,539.047,"20219253","SMAN 20 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
333,25,539.014,"20603368","SMAN 3 KOTA TANGERANG SELATAN","BANTEN","KOTA TANGERANG SELATAN","SMA"
334,48,538.967,"20532263","SMAN 9 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
335,30,538.934,"20400406","SMA NEGERI 1 BANGUNTAPAN","DI YOGYAKARTA","KAB. BANTUL","SMA"
336,55,538.849,"20310414","SMAS KRISTEN KALAM KUDUS SUKOHARJO","JAWA TENGAH","KAB. SUKOHARJO","SMA"
337,9,538.555,"10261532","SMA UNGGULAN CT FOUNDATION","SUMATERA UTARA","KAB. DELI SERDANG","SMA"
338,58,538.517,"20219241","SMAN 12 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
339,56,538.492,"20350718","SMAS IT IHSANUL FIKRI MUNGKID","JAWA TENGAH","KAB. MAGELANG","SMA"
340,2,538.46,"69978966","MAN INSAN CENDEKIA LOMBOK TIMUR","NUSA TENGGARA BARAT","KAB. LOMBOK TIMUR","MA"
341,49,538.409,"20533640","SMAN 8","JAWA TIMUR","KOTA MALANG","SMA"
342,57,538.355,"20327564","SMAN 3 MAGELANG","JAWA TENGAH","KOTA MAGELANG","SMA"
343,10,538.264,"10263528","SMAS NASIONAL PLUS CINTABUDAYA / CHONG WEN","SUMATERA UTARA","KAB. DELI SERDANG","SMA"
344,2,538.139,"10807561","SMAN 1 METRO","LAMPUNG","KOTA METRO","SMA"
345,69,538.033,"69955414","SMA EMIISc Jakarta","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
346,58,537.663,"20328892","SMA NEGERI 06","JAWA TENGAH","KOTA SEMARANG","SMA"
347,70,537.647,"20100186","SMAS KRISTEN 2 BPK PENABUR","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
348,31,537.4,"20401130","SMAN 1 MLATI","DI YOGYAKARTA","KAB. SLEMAN","SMA"
349,10,537.371,"10310795","SMAN 3 PAINAN","SUMATERA BARAT","KAB. PESISIR SELATAN","SMA"
350,59,537.321,"20318343","SMA NEGERI 1 JEPARA","JAWA TENGAH","KAB. JEPARA","SMA"
351,3,537.309,"69765089","SMAS ISLAM ATHIRAH","SULAWESI SELATAN","KAB. BONE","SMA"
352,71,537.216,"20102216","SMAN 3 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
353,50,537.206,"20580089","MAN 1 KOTA MALANG","JAWA TIMUR","KOTA MALANG","MA"
354,3,537.117,"30304597","SMAN 1 BANJARBARU","KALIMANTAN SELATAN","KOTA BANJARBARU","SMA"
355,51,537.087,"20534389","SMAN 1 KEDIRI","JAWA TIMUR","KOTA KEDIRI","SMA"
356,52,536.994,"20527233","SMAN 1 PAMEKASAN","JAWA TIMUR","KAB. PAMEKASAN","SMA"
357,59,536.915,"20224124","SMA SANTA MARIA 3","JAWA BARAT","KOTA CIMAHI","SMA"
358,3,536.835,"30105074","SMA KATOLIK SANTU PETRUS PONTIANAK","KALIMANTAN BARAT","KOTA PONTIANAK","SMA"
359,53,536.732,"20502727","SMAN 1 SOOKO","JAWA TIMUR","KAB. MOJOKERTO","SMA"
360,6,536.724,"10496495","SMA DHARMA LOKA","RIAU","KOTA PEKANBARU","SMA"
361,54,536.713,"20532087","SMAS SANTA MARIA","JAWA TIMUR","KOTA SURABAYA","SMA"
362,60,536.708,"20305025","SMAN 2 KEBUMEN","JAWA TENGAH","KAB. KEBUMEN","SMA"
363,61,536.694,"69929336","SMA SCIENCE PLUS BAITUL QURAN BOARDING SCHOOL","JAWA TENGAH","KAB. SRAGEN","SMA"
364,62,536.654,"20328449","SMAN 3 SALATIGA","JAWA TENGAH","KOTA SALATIGA","SMA"
365,63,536.561,"20331915","SMAS THERESIANA 1","JAWA TENGAH","KOTA SEMARANG","SMA"
366,7,536.552,"10498812","MAN 2 PEKANBARU","RIAU","KOTA PEKANBARU","MA"
367,60,536.447,"20219271","SMAN 1 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
368,64,536.326,"20322744","SMA NEGERI 1 BATANG","JAWA TENGAH","KAB. BATANG","SMA"
369,61,536.185,"20265518","SMAS ALFA CENTAURI","JAWA BARAT","KOTA BANDUNG","SMA"
370,2,536.042,"10111885","SMA TEUKU NYAK ARIF FATIH BILINGUAL SCHOOL","ACEH","KOTA BANDA ACEH","SMA"
371,1,536.032,"40103174","SMAS LOKON ST NIKOLAUS TOMOHON","SULAWESI UTARA","KOTA TOMOHON","SMA"
372,55,535.926,"69859740","SMA ISLAM SABILILLAH","JAWA TIMUR","KOTA MALANG","SMA"
373,26,535.922,"20603342","SMAS ISLAM AL-AZHAR BSD","BANTEN","KOTA TANGERANG SELATAN","SMA"
374,27,535.908,"20606814","SMAN 8 TANGERANG","BANTEN","KOTA TANGERANG","SMA"
375,62,535.825,"20200681","SMAN 1 CILEUNGSI","JAWA BARAT","KAB. BOGOR","SMA"
376,63,535.808,"20276416","SMAS LABSCHOOL CIBUBUR","JAWA BARAT","KOTA BEKASI","SMA"
377,6,535.79,"10601344","SMAN 4 LAHAT","SUMATERA SELATAN","KAB. LAHAT","SMA"
378,65,535.717,"20313048","SMAN 1 GEMOLONG","JAWA TENGAH","KAB. SRAGEN","SMA"
379,11,535.591,"69862591","SMA N 2 SUMATERA BARAT","SUMATERA BARAT","KAB. SOLOK","SMA"
380,28,535.591,"20603371","SMAS PLUS PEMBANGUNAN JAYA","BANTEN","KOTA TANGERANG SELATAN","SMA"
381,7,535.587,"10603858","SMA NEGERI 17 PALEMBANG","SUMATERA SELATAN","KOTA PALEMBANG","SMA"
382,64,535.5,"20253130","SMAS IT AL BINA","JAWA BARAT","KAB. BEKASI","SMA"
383,66,535.488,"20306176","SMAN 2 PURWOREJO","JAWA TENGAH","KAB. PURWOREJO","SMA"
384,56,535.485,"20511011","SMAN 1 PACITAN","JAWA TIMUR","KAB. PACITAN","SMA"
385,3,535.422,"10807024","SMA S AL KAUTSAR ","LAMPUNG","KOTA BANDAR LAMPUNG","SMA"
386,67,535.394,"20328913","SMA SEDES SAPIENTIAE","JAWA TENGAH","KOTA SEMARANG","SMA"
387,72,535.337,"P2965978","PKBM Windsor","DKI JAKARTA","KOTA JAKARTA PUSAT","PKBM"
388,65,535.307,"20219784","SMAS PELITA BANGSA","JAWA BARAT","KOTA BANDUNG","SMA"
389,66,535.258,"20219265","SMAS ST MARIA 1 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
390,67,535.167,"20277214","MAS HUSNUL KHOTIMAH","JAWA BARAT","KAB. KUNINGAN","MA"
391,57,535.096,"20509318","SMAN 1 MAGETAN","JAWA TIMUR","KAB. MAGETAN","SMA"
392,68,535.072,"20200885","SMAN 1 CIBINONG","JAWA BARAT","KAB. BOGOR","SMA"
393,32,535.038,"20363283","MAS MUALLIMAAT MUHAMMADIYAH","DI YOGYAKARTA","KOTA YOGYAKARTA","MA"
394,58,534.991,"20540060","SMAS KRISTEN PETRA 4","JAWA TIMUR","KAB. SIDOARJO","SMA"
395,59,534.979,"20525856","SMAN 1 GLAGAH","JAWA TIMUR","KAB. BANYUWANGI","SMA"
396,8,534.939,"69816324","SMA IT AL BAYYINAH","RIAU","KOTA PEKANBARU","SMA"
397,68,534.732,"20320387","SMA NEGERI 1 AMBARAWA","JAWA TENGAH","KAB. SEMARANG","SMA"
398,69,534.637,"20330921","SMA TRENSAINS MUHAMMADIYAH SRAGEN","JAWA TENGAH","KAB. SRAGEN","SMA"
399,69,534.596,"20219270","SMAS KRIDA NUSANTARA","JAWA BARAT","KOTA BANDUNG","SMA"
400,4,534.54,"10807016","SMA S XAVERIUS BANDAR LAMPUNG","LAMPUNG","KOTA BANDAR LAMPUNG","SMA"
401,70,534.403,"20329512","SMK Negeri 2 Pekalongan","JAWA TENGAH","KOTA PEKALONGAN","SMK"
402,70,534.388,"20220335","SMAN 6 BOGOR","JAWA BARAT","KOTA BOGOR","SMA"
403,33,534.228,"20401315","SMKN 2 DEPOK","DI YOGYAKARTA","KAB. SLEMAN","SMK"
404,34,534.106,"20363284","MAS MUALLIMIN MUHAMMADIYAH","DI YOGYAKARTA","KOTA YOGYAKARTA","MA"
405,60,534.013,"20514344","SMAN 1 TALUN","JAWA TIMUR","KAB. BLITAR","SMA"
406,71,533.964,"20219243","SMAN 11 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
407,72,533.911,"69822684","SMAS DARUL HIKAM INTERNASIONAL","JAWA BARAT","KAB. BANDUNG BARAT","SMA"
408,35,533.897,"20404171","SMAS IT ABU BAKAR","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
409,61,533.891,"20501702","SMAN 2 SIDOARJO","JAWA TIMUR","KAB. SIDOARJO","SMA"
410,73,533.837,"20222364","SMAN 1 CIREBON","JAWA BARAT","KOTA CIREBON","SMA"
411,2,533.812,"40102411","SMA MANADO INDEPENDENT SCHOOL","SULAWESI UTARA","KAB. MINAHASA UTARA","SMA"
412,29,533.797,"69982590","SMA AL WILDAN ISLAMIC SCHOOL","BANTEN","KAB. TANGERANG","SMA"
413,2,533.77,"30401067","SMA Negeri 10 Samarinda","KALIMANTAN TIMUR","KOTA SAMARINDA","SMA"
414,71,533.708,"20362982","MAS TAHFIZHUL QUR`AN","JAWA TENGAH","KAB. KARANGANYAR","MA"
415,72,533.697,"20308448","SMAN 3 BOYOLALI","JAWA TENGAH","KAB. BOYOLALI","SMA"
416,74,533.627,"20246730","SMAS GLOBAL PRESTASI","JAWA BARAT","KOTA BEKASI","SMA"
417,4,533.445,"40307369","SMAS KATOLIK RAJAWALI","SULAWESI SELATAN","KOTA MAKASSAR","SMA"
418,75,533.388,"20229167","SMAN 5 KOTA DEPOK","JAWA BARAT","KOTA DEPOK","SMA"
419,62,533.29,"20523847","SMAN 2 JEMBER","JAWA TIMUR","KAB. JEMBER","SMA"
420,5,533.265,"11000360","SMAN 1 BATAM","KEPULAUAN RIAU","KOTA BATAM","SMA"
421,76,533.255,"20227474","SMAN 1 GARUT","JAWA BARAT","KAB. GARUT","SMA"
422,36,533.24,"20411891","MAN 3 SLEMAN","DI YOGYAKARTA","KAB. SLEMAN","MA"
423,73,533.233,"20103281","SMAN 31 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
424,77,533.187,"20206209","SMAN 1 MARGAHAYU","JAWA BARAT","KAB. BANDUNG","SMA"
425,73,532.937,"20310421","SMAN 3 SUKOHARJO","JAWA TENGAH","KAB. SUKOHARJO","SMA"
426,6,532.93,"50103127","SMAN 1 DENPASAR","BALI","KOTA DENPASAR","SMA"
427,7,532.92,"50102779","SMAN 2 AMLAPURA","BALI","KAB. KARANG ASEM","SMA"
428,78,532.884,"20253167","SMAS ISLAM AL-AZHAR 4","JAWA BARAT","KOTA BEKASI","SMA"
429,74,532.841,"20327972","SMAN 7 SURAKARTA","JAWA TENGAH","KOTA SURAKARTA","SMA"
430,79,532.84,"20220334","SMAN 4 BOGOR","JAWA BARAT","KOTA BOGOR","SMA"
431,3,532.747,"30401809","SMAS YAYASAN PUPUK KALTIM BONTANG","KALIMANTAN TIMUR","KOTA BONTANG","SMA"
432,75,532.727,"20309684","SMAN 1 CAWAS","JAWA TENGAH","KAB. KLATEN","SMA"
433,30,532.699,"20603347","SMAS KATOLIK RICCI II","BANTEN","KOTA TANGERANG SELATAN","SMA"
434,76,532.582,"20320392","SMA SEDES SAPIENTIAE JAMBU","JAWA TENGAH","KAB. SEMARANG","SMA"
435,1,532.499,"60102022","SMAS KRISTEN REHOBOTH","MALUKU","KOTA AMBON","SMA"
436,11,532.4,"10259956","SMAS PRIMEONE SCHOOL","SUMATERA UTARA","KOTA MEDAN","SMA"
437,37,532.332,"20409801","SMA BUDI MULIA DUA","DI YOGYAKARTA","KAB. SLEMAN","SMA"
438,31,532.291,"20603328","SMAS KATOLIK MATER DEI","BANTEN","KOTA TANGERANG SELATAN","SMA"
439,1,532.268,"69955659","MAN INSAN CENDEKIA BANGKA TENGAH","KEPULAUAN BANGKA BELITUNG","KAB. BANGKA TENGAH","MA"
440,4,532.244,"30401490","SMAN 2 BALIKPAPAN UTARA","KALIMANTAN TIMUR","KOTA BALIKPAPAN","SMA"
441,80,532.243,"69816259","SMA IBNU HAJAR BOARDING SCHOOL","JAWA BARAT","KOTA DEPOK","SMA"
442,81,532.23,"69986335","SMA IT AT TAUFIQ","JAWA BARAT","KOTA BOGOR","SMA"
443,82,532.216,"20223033","SMAN 2 BEKASI","JAWA BARAT","KOTA BEKASI","SMA"
444,63,532.174,"P9908769","PKBM KAK SETO","JAWA TIMUR","KOTA SURABAYA","PKBM"
445,83,532.151,"20246430","SMAS ISLAM DIAN DIDAKTIKA","JAWA BARAT","KOTA DEPOK","SMA"
446,84,532.001,"20280604","SMAS FUTURE GATE","JAWA BARAT","KOTA BEKASI","SMA"
447,2,531.934,"10901104","SMAN 1 PANGKAL PINANG","KEPULAUAN BANGKA BELITUNG","KOTA PANGKALPINANG","SMA"
448,8,531.789,"50101121","SMAN 1 TABANAN","BALI","KAB. TABANAN","SMA"
449,85,531.781,"20231356","SMAS SMART EKSELENSIA INDONESIA","JAWA BARAT","KAB. BOGOR","SMA"
450,77,531.759,"20321907","SMAN 1 KENDAL","JAWA TENGAH","KAB. KENDAL","SMA"
451,86,531.557,"20223046","SMAN 3 BEKASI","JAWA BARAT","KOTA BEKASI","SMA"
452,64,531.548,"20502726","SMAN 1 PURI","JAWA TIMUR","KAB. MOJOKERTO","SMA"
453,3,531.468,"10900459","SMAN 1 TANJUNG PANDAN","KEPULAUAN BANGKA BELITUNG","KAB. BELITUNG","SMA"
454,78,531.409,"20313845","SMAN 1 PURWODADI","JAWA TENGAH","KAB. GROBOGAN","SMA"
455,65,531.385,"20532232","SMAN 21 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
456,3,531.144,"69952949","SMA LENTERA HARAPAN TOMOHON","SULAWESI UTARA","KOTA TOMOHON","SMA"
457,79,531.143,"69949652","SMA Muhammadiyah Program Khusus Kottabarat Surakarta","JAWA TENGAH","KOTA SURAKARTA","SMA"
458,74,531.135,"20103311","SMAN 53 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
459,12,531.098,"10210903","SMAS METHODIST 2 MEDAN","SUMATERA UTARA","KOTA MEDAN","SMA"
460,38,531.043,"20402128","SMKN 1 WONOSARI","DI YOGYAKARTA","KAB. GUNUNG KIDUL","SMK"
461,66,531.018,"20533641","SMAN 9 Malang","JAWA TIMUR","KOTA MALANG","SMA"
462,32,530.947,"20603361","SMAN 3 KABUPATEN TANGERANG","BANTEN","KAB. TANGERANG","SMA"
463,87,530.943,"20216938","SMAN 1 SUBANG","JAWA BARAT","KAB. SUBANG","SMA"
464,67,530.895,"20523807","SMAS ST PAULUS","JAWA TIMUR","KAB. JEMBER","SMA"
465,39,530.788,"20400371","SMA NEGERI 1 SEWON","DI YOGYAKARTA","KAB. BANTUL","SMA"
466,68,530.697,"20532217","SMAN 17 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
467,33,530.628,"69759180","SMA ISLAM SINAR CENDEKIA","BANTEN","KOTA TANGERANG SELATAN","SMA"
468,13,530.58,"69987117","MAN INSAN CENDEKIA TAPANULI SELATAN","SUMATERA UTARA","KAB. TAPANULI SELATAN","MA"
469,88,530.552,"20254358","SMAS GLOBAL MANDIRI","JAWA BARAT","KAB. BOGOR","SMA"
470,89,530.519,"20224113","SMA NEGERI 1 CIMAHI","JAWA BARAT","KOTA CIMAHI","SMA"
471,80,530.443,"20302169","SMAN 5 PURWOKERTO","JAWA TENGAH","KAB. BANYUMAS","SMA"
472,75,530.307,"69883506","SMA GARUDA CENDEKIA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
473,3,530.282,"10107194","SMAN 10 FAJAR HARAPAN BANDA ACEH","ACEH","KOTA BANDA ACEH","SMA"
474,81,530.136,"20321425","SMK NEGERI 1 TEMANGGUNG","JAWA TENGAH","KAB. TEMANGGUNG","SMK"
475,76,530.079,"20103297","SMAN 42 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
476,90,530.067,"20220338","SMAN 9 BOGOR","JAWA BARAT","KOTA BOGOR","SMA"
477,1,530.048,"60403474","SMAS AVEROS","PAPUA BARAT","KOTA SORONG","SMA"
478,91,530.012,"20229168","SMAN 6 KOTA DEPOK","JAWA BARAT","KOTA DEPOK","SMA"
479,92,530.007,"69987474","SMA ISLAM TERPADU NURUL FIKRI BOARDING SCHOOL","JAWA BARAT","KAB. BOGOR","SMA"
480,14,529.984,"10210873","SMAN 1 MEDAN","SUMATERA UTARA","KOTA MEDAN","SMA"
481,93,529.869,"20212956","SMA NEGERI 2 KUNINGAN","JAWA BARAT","KAB. KUNINGAN","SMA"
482,34,529.755,"20606848","SMAN 2 TANGERANG","BANTEN","KOTA TANGERANG","SMA"
483,94,529.753,"20217786","SMAN 1 KARAWANG","JAWA BARAT","KAB. KARAWANG","SMA"
484,5,529.721,"40301037","SMAN 5 GOWA","SULAWESI SELATAN","KAB. GOWA","SMA"
485,69,529.711,"20532246","SMAN 13 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
486,82,529.62,"20323399","SMA NEGERI 1 KEDUNGWUNI","JAWA TENGAH","KAB. PEKALONGAN","SMA"
487,77,529.472,"20103286","SMAN 113 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
488,83,529.431,"20307713","SMAN 1 MERTOYUDAN","JAWA TENGAH","KAB. MAGELANG","SMA"
489,70,529.325,"20500477","SMAN 1 MANYAR","JAWA TIMUR","KAB. GRESIK","SMA"
490,95,529.138,"20219751","SMAS ADVENT","JAWA BARAT","KOTA BANDUNG","SMA"
491,35,529.132,"20603359","SMAN 1 KOTA TANGERANG SELATAN","BANTEN","KOTA TANGERANG SELATAN","SMA"
492,71,529.097,"20501705","SMAN 1 TAMAN","JAWA TIMUR","KAB. SIDOARJO","SMA"
493,72,529.07,"20519299","SMAN 1 PANDAAN","JAWA TIMUR","KAB. PASURUAN","SMA"
494,9,529.038,"10497552","SMA IT AL ITTIHAD","RIAU","KOTA PEKANBARU","SMA"
495,73,528.992,"20505008","SMAN 2 TUBAN","JAWA TIMUR","KAB. TUBAN","SMA"
496,84,528.973,"20302170","SMAN 1 AJIBARANG","JAWA TENGAH","KAB. BANYUMAS","SMA"
497,6,528.953,"40310832","SMA NEGERI 5 PAREPARE","SULAWESI SELATAN","KOTA PAREPARE","SMA"
498,85,528.891,"20337604","SMK NEGERI 7 SEMARANG","JAWA TENGAH","KOTA SEMARANG","SMK"
499,78,528.841,"20101586","SMAN 85 JAKARTA","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
500,79,528.799,"20177932","MAN 4 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","MA"
501,96,528.788,"20217357","SMAN 1 PURWAKARTA","JAWA BARAT","KAB. PURWAKARTA","SMA"
502,80,528.741,"20100797","SMAN 52 JAKARTA","DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
503,81,528.615,"20103219","SMAS FONS VITAE 1 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
504,82,528.609,"20102217","SMAN 29 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
505,97,528.577,"20271471","SMA IT DARUL QUR AN","JAWA BARAT","KAB. BOGOR","SMA"
506,74,528.569,"69880982","SMA BINA INSAN MANDIRI","JAWA TIMUR","KAB. NGANJUK","SMA"
507,5,528.392,"30401487","SMAN 5 BALIKPAPAN SELATAN","KALIMANTAN TIMUR","KOTA BALIKPAPAN","SMA"
508,4,528.325,"10900232","SMAN 1 SUNGAI LIAT","KEPULAUAN BANGKA BELITUNG","KAB. BANGKA","SMA"
509,8,528.29,"10603853","SMA NEGERI 06 PALEMBANG","SUMATERA SELATAN","KOTA PALEMBANG","SMA"
510,98,528.289,"20219249","SMAN 23 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
511,99,528.259,"20223043","SMAN 6 BEKASI","JAWA BARAT","KOTA BEKASI","SMA"
512,5,528.222,"69775683","SMAS IT AR RAIHAN ","LAMPUNG","KOTA BANDAR LAMPUNG","SMA"
513,100,528.177,"20220325","SMAS BUDI MULIA","JAWA BARAT","KOTA BOGOR","SMA"
514,83,528.114,"20103196","SMAS SANTO YOSEPH JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
515,101,528.109,"20220329","SMAS KESATUAN","JAWA BARAT","KOTA BOGOR","SMA"
516,86,528.075,"20302171","SMAN 1 BANYUMAS","JAWA TENGAH","KAB. BANYUMAS","SMA"
517,75,528.049,"20533655","SMAS KATOLIK SANTA MARIA","JAWA TIMUR","KOTA MALANG","SMA"
