"Ranking","Gap","NPSN","Sekolah","Nilai.Total","Provinsi","Kab.Kota","Jenis"
1,1,"20623314","MAN INSAN CENDEKIA SERPONG",637.807,"BANTEN","KOTA TANGERANG SELATAN","MA"
2,1,"20109933","SMAN UNGGULAN M.H. THAMRIN",635.675,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
3,1,"20102568","SMAN 8 JAKARTA",630.86,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
4,1,"10263538","SMAS UNGGUL DEL",630.177,"SUMATERA UTARA","KAB. TOBA SAMOSIR","SMA"
5,2,"20219730","SMAS BPK 1 PENABUR BANDUNG",618.415,"JAWA BARAT","KOTA BANDUNG","SMA"
6,NA,"20101306","SMAS 1 KRISTEN BPK PENABUR",617.214,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
7,5,"20403178","SMAN 3 YOGYAKARTA",616.584,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
8,3,"20532248","SMAN 5 SURABAYA",615.6,"JAWA TIMUR","KOTA SURABAYA","SMA"
9,4,"20107319","SMAN 28 JAKARTA",611.727,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
10,1,"20403174","SMAN 1 YOGYAKARTA",609.308,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
11,3,"20103301","SMAN 81 JAKARTA",607.402,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
12,16,"20107313","SMA LABSCHOOL KEBAYORAN",607.014,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
13,3,"20532145","SMA KATOLIK ST.LOUIS 1",604.896,"JAWA TIMUR","KOTA SURABAYA","SMA"
14,8,"20100601","SMAS KRISTEN 5 BPK PENABUR",604.204,"DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
15,12,"20603376","SMAS SANTA URSULA BSD",603.309,"BANTEN","KOTA TANGERANG SELATAN","SMA"
16,NA,"20100170","SMAS KANISIUS JAKARTA",603.144,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
17,1,"20403161","SMAN 8 YOGYAKARTA",602.369,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
18,12,"20616061","SMAS PAHOA",602.107,"BANTEN","KAB. TANGERANG","SMA"
19,10,"20102214","SMAN 34 JAKARTA",601.49,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
20,1,"20100187","SMAS KRISTEN 3 PENABUR JAKARTA",600.743,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
21,23,"20100199","SMAN 68 JAKARTA",598.806,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
22,11,"30315142","SMAN BANUA KAL SEL",598.449,"KALIMANTAN SELATAN","KAB. BANJAR","SMA"
23,10,"20328915","SMAS KOLESE LOYOLA",598.006,"JAWA TENGAH","KOTA SEMARANG","SMA"
24,1,"20108383","SMAS SANTA URSULA",597.814,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
25,11,"60728785","MAN Insan Cendekia Gorontalo",597.665,"GORONTALO","KAB. BONE BOLANGO","MA"
26,2,"20603357","SMAS KRISTEN BPK PENABUR GADING SERPONG",597.025,"BANTEN","KAB. TANGERANG","SMA"
27,1,"20109467","SMAS KRISTEN IPEKA PURI INDAH",596.974,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
28,3,"20403177","SMAN 2 YOGYAKARTA",596.448,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
29,14,"20101622","SMAN 2 JAKARTA",596.367,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
30,16,"20101588","SMAN 78 JAKARTA",595.711,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
31,23,"20103307","SMAN 61 JAKARTA",594.675,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
32,6,"69787002","SMAK PENABUR KOTA TANGERANG",594.357,"BANTEN","KOTA TANGERANG","SMA"
33,7,"20533665","SMAN 3",593.67,"JAWA TIMUR","KOTA MALANG","SMA"
34,11,"69941723","MAN INSAN CENDEKIA PEKALONGAN",592.763,"JAWA TENGAH","KOTA PEKALONGAN","MA"
35,26,"20580050","MAN 2 KOTA MALANG",592.212,"JAWA TIMUR","KOTA MALANG","MA"
36,1,"20327966","SMAN 1 SURAKARTA",591.427,"JAWA TENGAH","KOTA SURAKARTA","SMA"
37,41,"20107304","SMAS ISLAM AL-AZHAR 1 JAKARTA",591.282,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
38,34,"20614920","SMA BINA NUSANTARA SERPONG",590.181,"BANTEN","KOTA TANGERANG SELATAN","SMA"
39,16,"20103314","SMAN 48 JAKARTA",589.804,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
40,30,"20102218","SMAN 26 JAKARTA",589.339,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
41,7,"20328895","SMA NEGERI 03",588.524,"JAWA TENGAH","KOTA SEMARANG","SMA"
42,34,"10310903","SMAN 1 SUMATERA BARAT",588.361,"SUMATERA BARAT","KOTA PADANG PANJANG","SMA"
43,20,"20219263","SMAS ALLOYSIUS 1",587.438,"JAWA BARAT","KOTA BANDUNG","SMA"
44,3,"20400405","SMA NEGERI 1 BANTUL",587.38,"DI YOGYAKARTA","KAB. BANTUL","SMA"
45,6,"20220342","SMAN 1 BOGOR",587.276,"JAWA BARAT","KOTA BOGOR","SMA"
46,6,"20532230","SMAN 2 SURABAYA",586.931,"JAWA TIMUR","KOTA SURABAYA","SMA"
47,6,"20403171","SMAN 6 YOGYAKARTA",586.928,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
48,6,"20533654","SMAS K KOLESE ST YUSUP",586.399,"JAWA TIMUR","KOTA MALANG","SMA"
