"Ranking","Gap","NPSN","Sekolah","Nilai.Total","Provinsi","Kab.Kota","Jenis"
49,36,"20327563","SMAN 1 MAGELANG",586.372,"JAWA TENGAH","KOTA MAGELANG","SMA"
50,1,"20403162","SMAN 9 YOGYAKARTA",585.956,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
51,2,"20219327","SMAN 3 BANDUNG",584.819,"JAWA BARAT","KOTA BANDUNG","SMA"
52,4,"10210848","SMAS SUTOMO 1",584.801,"SUMATERA UTARA","KOTA MEDAN","SMA"
53,11,"20403180","SMAN 5 YOGYAKARTA",584.538,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
54,13,"20606853","SMAN 1 TANGERANG",584.444,"BANTEN","KOTA TANGERANG","SMA"
55,20,"20306202","SMAN 1 PURWOREJO",583.308,"JAWA TENGAH","KAB. PURWOREJO","SMA"
56,2,"20533660","SMAN 1",583.01,"JAWA TIMUR","KOTA MALANG","SMA"
57,5,"20523844","SMAN 1 JEMBER",582.797,"JAWA TIMUR","KAB. JEMBER","SMA"
58,13,"20223020","SMAN 1 BEKASI",582.509,"JAWA BARAT","KOTA BEKASI","SMA"
59,50,"20534124","SMAN 2 MADIUN",581.924,"JAWA TIMUR","KOTA MADIUN","SMA"
60,47,"20401145","SMAN 1 KALASAN",581.794,"DI YOGYAKARTA","KAB. SLEMAN","SMA"
61,36,"20103283","SMAN 21 JAKARTA",581.557,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
62,29,"20102193","SMAN 47 JAKARTA",580.882,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
63,3,"20107299","SMAS GONZAGA JAKARTA",580.858,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
64,9,"10303611","SMAN 1 PADANG PANJANG",580.136,"SUMATERA BARAT","KOTA PADANG PANJANG","SMA"
65,27,"20402126","SMAN 1 WONOSARI",580.028,"DI YOGYAKARTA","KAB. GUNUNG KIDUL","SMA"
66,3,"20501706","SMAN 1 SIDOARJO",579.75,"JAWA TIMUR","KAB. SIDOARJO","SMA"
67,1,"20219728","SMAS BPK 2 PENABUR",579.584,"JAWA BARAT","KOTA BANDUNG","SMA"
68,11,"20103228","SMAS KRISTEN 7 BPK PENABUR JAKARTA",579.313,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
69,41,"20307712","SMAN 1 MUNTILAN",579.211,"JAWA TENGAH","KAB. MAGELANG","SMA"
70,86,"69983368","MAN INSAN CENDEKIA PADANG PARIAMAN",579.01,"SUMATERA BARAT","KAB. PADANG PARIAMAN","MA"
71,84,"20103285","SMAN 12 JAKARTA",578.89,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
72,59,"20253599","SMAS PENABUR",578.703,"JAWA BARAT","KOTA BEKASI","SMA"
73,112,"20401124","SMAN 1 SLEMAN",578.653,"DI YOGYAKARTA","KAB. SLEMAN","SMA"
74,16,"20220343","SMAS REGINA PACIS",578.595,"JAWA BARAT","KOTA BOGOR","SMA"
75,1,"60724799","SMAS DARMA YUDHA",578.582,"RIAU","KOTA PEKANBARU","SMA"
76,5,"20305010","SMAN 1 KEBUMEN",578.171,"JAWA TENGAH","KAB. KEBUMEN","SMA"
77,23,"20321438","SMA NEGERI 1 TEMANGGUNG",578.074,"JAWA TENGAH","KAB. TEMANGGUNG","SMA"
78,20,"20102570","SMAN 70 JAKARTA",577.481,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
79,10,"20101589","SMAN 65 JAKARTA",577.345,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
80,70,"20401146","SMAN 1 GODEAN",577.257,"DI YOGYAKARTA","KAB. SLEMAN","SMA"
81,33,"20100806","SMAN 13 JAKARTA",577.111,"DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
82,40,"20103296","SMAN 39 JAKARTA",576.86,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
83,6,"20309676","SMAN 1 KLATEN",576.836,"JAWA TENGAH","KAB. KLATEN","SMA"
84,10,"20328447","SMAN 1 SALATIGA",576.753,"JAWA TENGAH","KOTA SALATIGA","SMA"
85,32,"20247147","SMAS PESANTREN UNGGUL AL BAYAN",576.549,"JAWA BARAT","KAB. SUKABUMI","SMA"
86,4,"20500479","SMAN 1 GRESIK",576.513,"JAWA TIMUR","KAB. GRESIK","SMA"
87,33,"20307644","SMAS PANGUDI LUHUR VAN LITH",576.137,"JAWA TENGAH","KAB. MAGELANG","SMA"
88,23,"20607805","SMAN CMBBS",576.099,"BANTEN","KAB. PANDEGLANG","SMA"
89,2,"20103284","SMAN 14 JAKARTA",575.534,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
90,58,"69883214","SMA PLUS AR RAHMAT",575.436,"JAWA TIMUR","KAB. BOJONEGORO","SMA"
91,54,"20102212","SMAN 38 JAKARTA",575.283,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
92,12,"20223819","SMAN 1 KOTA DEPOK",574.808,"JAWA BARAT","KOTA DEPOK","SMA"
93,49,"20327969","SMAN 4 SURAKARTA",574.798,"JAWA TENGAH","KOTA SURAKARTA","SMA"
94,2,"20532237","SMAN 15 SURABAYA",574.739,"JAWA TIMUR","KOTA SURABAYA","SMA"
95,20,"20613477","SMAN 2 KOTA TANGERANG SELATAN",574.404,"BANTEN","KOTA TANGERANG SELATAN","SMA"
96,40,"20328896","SMA NEGERI 02",574.09,"JAWA TENGAH","KOTA SEMARANG","SMA"
97,71,"69870886","SMA KRISTEN PENABUR SUMMARECON BEKASI",573.831,"JAWA BARAT","KOTA BEKASI","SMA"
98,18,"10100170","SMA NEGERI MODAL BANGSA",573.38,"ACEH","KAB. ACEH BESAR","SMA"
99,5,"20327968","SMAN 3 SURAKARTA",573.251,"JAWA TENGAH","KOTA SURAKARTA","SMA"
100,63,"20103303","SMAN 71 JAKARTA",572.554,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
101,8,"20328867","SMA NEGERI 01",572.208,"JAWA TENGAH","KOTA SEMARANG","SMA"
102,31,"20505009","SMAN 1 TUBAN",572.175,"JAWA TIMUR","KAB. TUBAN","SMA"
103,37,"20103223","SMAS LABSCHOOL JAKARTA",572.155,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
104,20,"20219279","SMAS TRINITAS BANDUNG",572.07,"JAWA BARAT","KOTA BANDUNG","SMA"
105,32,"10303461","SMAN 1 PADANG",572.067,"SUMATERA BARAT","KOTA PADANG","SMA"
106,4,"20308449","SMAN 1 BOYOLALI",572.006,"JAWA TENGAH","KAB. BOYOLALI","SMA"
107,45,"20103256","SMAN 99 JAKARTA",572.002,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
108,22,"20102592","SMAN 49 JAKARTA",571.764,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
109,6,"20400381","SMA NEGERI 2 BANTUL",571.749,"DI YOGYAKARTA","KAB. BANTUL","SMA"
110,24,"20503414","SMA NEGERI 2 JOMBANG",571.696,"JAWA TIMUR","KAB. JOMBANG","SMA"
111,110,"20401127","SMAN 1 PAKEM",571.502,"DI YOGYAKARTA","KAB. SLEMAN","SMA"
112,59,"20219266","SMAS ST ANGELA",571.251,"JAWA BARAT","KOTA BANDUNG","SMA"
113,45,"20100201","SMAN 77 JAKARTA",570.969,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
114,31,"69873999","SMA KRISTEN PENABUR KOTA WISATA",570.712,"JAWA BARAT","KAB. BOGOR","SMA"
115,4,"20615025","SMAS PENABUR BINTARO",570.7,"BANTEN","KOTA TANGERANG SELATAN","SMA"
116,10,"20532260","SMAN 6 SURABAYA",570.657,"JAWA TIMUR","KOTA SURABAYA","SMA"
117,57,"20328894","SMA NEGERI 04",570.656,"JAWA TENGAH","KOTA SEMARANG","SMA"
118,41,"20100198","SMAS SANTA THERESIA JAKARTA",570.55,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
119,1,"20329517","SMA Negeri 1 Pekalongan",570.482,"JAWA TENGAH","KOTA PEKALONGAN","SMA"
120,15,"20402794","SMA NEGERI 1 WATES",570.082,"DI YOGYAKARTA","KAB. KULON PROGO","SMA"
121,32,"20302165","SMAN 2 PURWOKERTO",570.043,"JAWA TENGAH","KAB. BANYUMAS","SMA"
122,3,"20403176","SMAN 11 YOGYAKARTA",569.993,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
123,59,"69760753","SMAS IT IBNU ABBAS",569.983,"JAWA TENGAH","KAB. KLATEN","SMA"
124,NA,"20403170","SMAN 7 YOGYAKARTA",569.887,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
125,24,"20504500","SMAN 1 BOJONEGORO",569.575,"JAWA TIMUR","KAB. BOJONEGORO","SMA"
126,157,"69975889","MAN INSAN CENDEKIA KOTA BATAM",569.553,"KEPULAUAN RIAU","KOTA BATAM","MA"
127,30,"20534388","SMAN 2 KEDIRI",569.117,"JAWA TIMUR","KOTA KEDIRI","SMA"
128,37,"20302182","SMAN 1 PURWOKERTO",569.085,"JAWA TENGAH","KAB. BANYUMAS","SMA"
129,33,"20401161","SMAN 1 DEPOK",568.43,"DI YOGYAKARTA","KAB. SLEMAN","SMA"
130,63,"20401156","SMAS KOLESE DE BRITTO DEPOK",568.311,"DI YOGYAKARTA","KAB. SLEMAN","SMA"
131,32,"20613524","SMAS TARAKANITA GADING SERPONG",567.973,"BANTEN","KAB. TANGERANG","SMA"
132,27,"20220332","SMAN 3 BOGOR",567.832,"JAWA BARAT","KOTA BOGOR","SMA"
133,14,"20532242","SMAN 1 SURABAYA",567.053,"JAWA TIMUR","KOTA SURABAYA","SMA"
134,27,"69941607","MAN Insan Cendekia Oki",566.963,"SUMATERA SELATAN","KAB. OGAN KOMERING ILIR","MA"
135,16,"11002204","SMAS KATOLIK YOS SUDARSO",566.848,"KEPULAUAN RIAU","KOTA BATAM","SMA"
136,5,"10303462","SMAN 10 PADANG",566.571,"SUMATERA BARAT","KOTA PADANG","SMA"
137,88,"20307641","SMAS TARUNA NUSANTARA",566.425,"JAWA TENGAH","KAB. MAGELANG","SMA"
138,32,"20312200","SMAN 1 KARANGANYAR",566.183,"JAWA TENGAH","KAB. KARANGANYAR","SMA"
139,77,"20101620","SMAN 33 JAKARTA",565.995,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
140,12,"20310417","SMAN 1 SUKOHARJO",565.834,"JAWA TENGAH","KAB. SUKOHARJO","SMA"
141,14,"20532236","SMAN 16 SURABAYA",565.394,"JAWA TIMUR","KOTA SURABAYA","SMA"
142,58,"20219269","SMAS TARUNA BAKTI",565.307,"JAWA BARAT","KOTA BANDUNG","SMA"
143,51,"20104432","SMAS KATOLIK SANG TIMUR",565.303,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
144,58,"10304887","SMA NEGERI AGAM CENDEKIA",565.002,"SUMATERA BARAT","KAB. AGAM","SMA"
145,15,"10208520","SMAN 2 BALIGE",564.522,"SUMATERA UTARA","KAB. TOBA SAMOSIR","SMA"
146,17,"20219326","SMAN 8 BANDUNG",564.029,"JAWA BARAT","KOTA BANDUNG","SMA"
147,56,"10507942","MAN INSAN CENDEKIA JAMBI",563.897,"JAMBI","KAB. MUARO JAMBI","MA"
148,40,"10259371","SMAS METHODIST 3 MEDAN",563.784,"SUMATERA UTARA","KOTA MEDAN","SMA"
149,41,"20306807","SMA NEGERI 1 WONOSOBO",563.443,"JAWA TENGAH","KAB. WONOSOBO","SMA"
150,39,"20535050","SMAN 1 BLITAR",563.338,"JAWA TIMUR","KOTA BLITAR","SMA"
151,24,"10211691","SMAS BUDI MULIA",563.197,"SUMATERA UTARA","KOTA PEMATANGSIANTAR","SMA"
152,46,"69856916","SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG",563.123,"SUMATERA SELATAN","KOTA PALEMBANG","SMA"
153,26,"20200691","SMAN 2 CIBINONG",562.913,"JAWA BARAT","KAB. BOGOR","SMA"
154,NA,"20317494","SMAN 1 KUDUS",562.766,"JAWA TENGAH","KAB. KUDUS","SMA"
155,81,"20102563","SMAN 90 JAKARTA",562.751,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
156,184,"69978966","MAN INSAN CENDEKIA LOMBOK TIMUR",562.729,"NUSA TENGGARA BARAT","KAB. LOMBOK TIMUR","MA"
157,14,"20339021","SMA NEGERI 1 PATI",562.717,"JAWA TENGAH","KAB. PATI","SMA"
158,20,"20520820","SMAN 2 LUMAJANG",562.643,"JAWA TIMUR","KAB. LUMAJANG","SMA"
159,162,"20247152","SMAS INSAN CENDEKIA  AL KAUSAR",562.634,"JAWA BARAT","KAB. SUKABUMI","SMA"
160,16,"20223044","SMAN 5 BEKASI",562.541,"JAWA BARAT","KOTA BEKASI","SMA"
161,22,"10504594","SMAS XAVERIUS 1",562.527,"JAMBI","KOTA JAMBI","SMA"
162,35,"20101626","SMAN 112 JAKARTA",562.22,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
163,69,"20103292","SMAN 103 JAKARTA",562.173,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
164,66,"20525854","SMAN 1 GENTENG",562.016,"JAWA TIMUR","KAB. BANYUWANGI","SMA"
165,49,"20229157","SMAS ISLAM TERPADU NURUL FIKRI",561.786,"JAWA BARAT","KOTA DEPOK","SMA"
166,17,"50103124","SMAN 4 DENPASAR",561.641,"BALI","KOTA DENPASAR","SMA"
167,4,"20533667","SMAN 4",561.541,"JAWA TIMUR","KOTA MALANG","SMA"
168,43,"20277085","MAS ZAKARIA",561.282,"JAWA BARAT","KOTA BANDUNG","MA"
169,3,"20238524","SMK-SMAK BOGOR",561.237,"JAWA BARAT","KOTA BOGOR","SMK"
170,17,"20303249","SMAN 1 PURBALINGGA",560.916,"JAWA TENGAH","KAB. PURBALINGGA","SMA"
171,10,"20325299","SMAN 1 SLAWI",560.834,"JAWA TENGAH","KAB. TEGAL","SMA"
172,41,"69727602","SMAS AL-IZZAH BATU",560.096,"JAWA TIMUR","KOTA BATU","SMA"
173,31,"20533635","SMAS KATOLIK ST ALBERTUS",559.979,"JAWA TIMUR","KOTA MALANG","SMA"
174,38,"20403375","MAN 1 YOGYAKARTA",559.95,"DI YOGYAKARTA","KOTA YOGYAKARTA","MA"
175,6,"20223818","SMAN 2 KOTA DEPOK",559.887,"JAWA BARAT","KOTA DEPOK","SMA"
176,3,"30105210","SMAN 1 PONTIANAK",559.669,"KALIMANTAN BARAT","KOTA PONTIANAK","SMA"
177,40,"20329847","SMAN 1 TEGAL",559.556,"JAWA TENGAH","KOTA TEGAL","SMA"
178,68,"20253836","SMAS PRIBADI",559.554,"JAWA BARAT","KOTA BANDUNG","SMA"
179,63,"20363082","MAN 2 KUDUS",559.149,"JAWA TENGAH","KAB. KUDUS","MA"
180,29,"20300617","SMA NEGERI 1 CILACAP",559.093,"JAWA TENGAH","KAB. CILACAP","SMA"
181,5,"20403179","SMAN 4 YOGYAKARTA",559.029,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
182,13,"20511965","SMAN 2 PARE",558.602,"JAWA TIMUR","KAB. KEDIRI","SMA"
183,57,"20607991","SMA ISLAM NURUL FIKRI",558.49,"BANTEN","KAB. SERANG","SMA"
184,108,"20103309","SMAN 58 JAKARTA",558.459,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
185,140,"69857710","SMA TRENSAINS TEBUIRENG",558.1,"JAWA TIMUR","KAB. JOMBANG","SMA"
186,72,"20222365","SMAN 2 CIREBON",558.058,"JAWA BARAT","KOTA CIREBON","SMA"
187,136,"20542500","SMA NEGERI 1 TRENGGALEK",557.967,"JAWA TIMUR","KAB. TRENGGALEK","SMA"
188,88,"10210923","SMAS SANTO THOMAS 1 MEDAN",557.835,"SUMATERA UTARA","KOTA MEDAN","SMA"
189,19,"10307523","SMAN 1 BUKITTINGGI",557.817,"SUMATERA BARAT","KOTA BUKITTINGGI","SMA"
190,62,"20538326","SMAN 2 NGANJUK",557.786,"JAWA TIMUR","KAB. NGANJUK","SMA"
191,82,"69976494","MAN INSAN CENDEKIA TANAH LAUT",557.782,"KALIMANTAN SELATAN","KAB. TANAH LAUT","MA"
192,45,"11002197","SMAN 3 BATAM",557.721,"KEPULAUAN RIAU","KOTA BATAM","SMA"
193,6,"20219309","SMAN 5 BANDUNG",557.703,"JAWA BARAT","KOTA BANDUNG","SMA"
194,47,"20616138","SMAS TARAKANITA CITRA RAYA",557.645,"BANTEN","KAB. TANGERANG","SMA"
195,31,"20103278","SMAN 91 JAKARTA",557.63,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
196,33,"20330281","SMAN 1 GOMBONG",557.606,"JAWA TENGAH","KAB. KEBUMEN","SMA"
197,9,"20320242","SMA NEGERI 1 UNGARAN",557.6,"JAWA TENGAH","KAB. SEMARANG","SMA"
198,9,"10609704","SMA XAVERIUS 01 PALEMBANG",557.578,"SUMATERA SELATAN","KOTA PALEMBANG","SMA"
199,27,"20219254","SMAN 2 BANDUNG",557.443,"JAWA BARAT","KOTA BANDUNG","SMA"
200,139,"20350718","SMAS IT IHSANUL FIKRI MUNGKID",557.341,"JAWA TENGAH","KAB. MAGELANG","SMA"
201,65,"20100216","SMAN 1 JAKARTA",557.265,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
202,38,"20328893","SMA NEGERI 05",557.03,"JAWA TENGAH","KOTA SEMARANG","SMA"
203,28,"20354028","SMAN 1 SRAGEN",556.857,"JAWA TENGAH","KAB. SRAGEN","SMA"
204,72,"10404453","SMAN PLUS PROP RIAU",556.832,"RIAU","KOTA PEKANBARU","SMA"
205,25,"20306171","SMAN 7 PURWOREJO",556.39,"JAWA TENGAH","KAB. PURWOREJO","SMA"
206,43,"20515430","SMAN 1 KEDUNGWARU",556.244,"JAWA TIMUR","KAB. TULUNGAGUNG","SMA"
207,65,"20102575","SMAN 55 JAKARTA",556.147,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
208,49,"10263742","MAS PERGURUAN ISLAM AR RISALAH",556.1,"SUMATERA BARAT","KOTA PADANG","MA"
209,47,"20615183","SMAS KHARISMA BANGSA",555.65,"BANTEN","KOTA TANGERANG SELATAN","SMA"
210,61,"20341554","SMAS IT NURHIDAYAH",555.546,"JAWA TENGAH","KAB. SUKOHARJO","SMA"
211,111,"20510150","SMAN 1 PONOROGO",555.468,"JAWA TIMUR","KAB. PONOROGO","SMA"
212,41,"20303987","SMAN 1 BANJARNEGARA",555.353,"JAWA TENGAH","KAB. BANJARNEGARA","SMA"
213,95,"20327987","SMAS REGINA PACIS SURAKARTA",555.248,"JAWA TENGAH","KOTA SURAKARTA","SMA"
214,23,"20403175","SMAN 10 YOGYAKARTA",555.219,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
215,69,"20606833","SMAS STRADA ST AQUINO",555.215,"BANTEN","KOTA TANGERANG","SMA"
216,64,"20102571","SMAN 66 JAKARTA",555.177,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
217,10,"20533653","SMAN 5",554.975,"JAWA TIMUR","KOTA MALANG","SMA"
218,63,"20328912","SMA SEMESTA",554.759,"JAWA TENGAH","KOTA SEMARANG","SMA"
219,142,"20532087","SMAS SANTA MARIA",554.716,"JAWA TIMUR","KOTA SURABAYA","SMA"
220,100,"20327970","SMAN 5 SURAKARTA",554.535,"JAWA TENGAH","KOTA SURAKARTA","SMA"
221,53,"20517730","SMAN 1 KEPANJEN",554.391,"JAWA TIMUR","KAB. MALANG","SMA"
222,22,"20103304","SMAN 67 JAKARTA",554.269,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
223,56,"20580045","MAN 2 Kota Kediri",554.243,"JAWA TIMUR","KOTA KEDIRI","MA"
224,9,"30105064","SMAS KRISTEN IMMANUEL",554.217,"KALIMANTAN BARAT","KOTA PONTIANAK","SMA"
225,29,"20219248","SMAN 24 BANDUNG",554.175,"JAWA BARAT","KOTA BANDUNG","SMA"
226,16,"20409906","SMA KESATUAN BANGSA",554.154,"DI YOGYAKARTA","KAB. BANTUL","SMA"
227,20,"20107277","SMAS AL IZHAR JAKARTA",554.078,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
228,40,"10307799","SMAN 3 BATU SANGKAR",554.052,"SUMATERA BARAT","KAB. TANAH DATAR","SMA"
229,14,"20238517","SMAN 5 BOGOR",554.033,"JAWA BARAT","KOTA BOGOR","SMA"
230,8,"20218351","SMAN 1 TAMBUN SELATAN",554.028,"JAWA BARAT","KAB. BEKASI","SMA"
231,57,"20102574","SMAN 6 JAKARTA",553.84,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
232,57,"20252852","SMAS AL KAHFI",553.827,"JAWA BARAT","KAB. BOGOR","SMA"
233,14,"20311334","SMAN 1 WONOGIRI",553.763,"JAWA TENGAH","KAB. WONOGIRI","SMA"
234,57,"20536817","SMAN 1 BATU",553.655,"JAWA TIMUR","KOTA BATU","SMA"
235,68,"10210836","SMAS SUTOMO 2",553.588,"SUMATERA UTARA","KOTA MEDAN","SMA"
236,59,"30401491","SMAN 1 BALIKPAPAN ",553.516,"KALIMANTAN TIMUR","KOTA BALIKPAPAN","SMA"
237,19,"20224139","SMA NEGERI 2 CIMAHI",553.375,"JAWA BARAT","KOTA CIMAHI","SMA"
238,32,"10648016","SMAN SUMATERA SELATAN",553.242,"SUMATERA SELATAN","KOTA PALEMBANG","SMA"
239,77,"20102219","SMAN 109 JAKARTA",553.107,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
240,102,"20327564","SMAN 3 MAGELANG",552.93,"JAWA TENGAH","KOTA MAGELANG","SMA"
241,52,"20101623","SMAN 19 JAKARTA",552.811,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
242,121,"20532131","SMAS KATOLIK FRATERAN",552.604,"JAWA TIMUR","KOTA SURABAYA","SMA"
