"Ranking","Gap","NPSN","Sekolah","Nilai.Total","Provinsi","Kab.Kota","Jenis"
464,207,20403146,"SMAS STELLA DUCE 2",534.207,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
465,470,20219264,"SMA SANTA MARIA 2",534.201,"JAWA BARAT","KOTA BANDUNG","SMA"
466,202,20231316,"SMAS MARDI WALUYA",534.189,"JAWA BARAT","KAB. BOGOR","SMA"
467,-8,20533664,"SMAN 2",534.147,"JAWA TIMUR","KOTA MALANG","SMA"
468,-105,20302171,"SMA NEGERI 1 BANYUMAS",534.134,"JAWA TENGAH","KAB. BANYUMAS","SMA"
469,110,20307710,"SMAN 1 SALAMAN",534.049,"JAWA TENGAH","KAB. MAGELANG","SMA"
470,340,20103294,"SMAN 100 JAKARTA",533.941,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
471,-147,50204503,"SMA NEGERI 1 MATARAM",533.91,"NUSA TENGGARA BARAT","KOTA MATARAM","SMA"
472,239,20501703,"SMAN 1 WARU",533.825,"JAWA TIMUR","KAB. SIDOARJO","SMA"
473,252,69893966,"SMA GLOBAL ISLAMIC SCHOOL 2",533.768,"BANTEN","KOTA TANGERANG SELATAN","SMA"
474,-77,20409801,"SMA BUDI MULIA DUA",533.705,"DI YOGYAKARTA","KAB. SLEMAN","SMA"
475,423,50102004,"SMAN 1 UBUD",533.682,"BALI","KAB. GIANYAR","SMA"
476,292,10303467,"SMAS DON BOSCO",533.611,"SUMATERA BARAT","KOTA PADANG","SMA"
477,-176,20313048,"SMAN 1 GEMOLONG",533.561,"JAWA TENGAH","KAB. SRAGEN","SMA"
478,NA,20229160,"SMAS AVICENA CINERE",533.544,"JAWA BARAT","KOTA DEPOK","SMA"
479,111,30400382,"SMAN 1 BERAU",533.54,"KALIMANTAN TIMUR","KAB. BERAU","SMA"
480,174,20313028,"SMAN 2 SRAGEN",533.515,"JAWA TENGAH","KAB. SRAGEN","SMA"
481,-162,20511011,"SMAN 1 PACITAN",533.368,"JAWA TIMUR","KAB. PACITAN","SMA"
482,121,20515450,"SMAN 1 BOYOLANGU",533.275,"JAWA TIMUR","KAB. TULUNGAGUNG","SMA"
483,360,20515431,"SMAN 1 KAUMAN",533.196,"JAWA TIMUR","KAB. TULUNGAGUNG","SMA"
484,383,20584790,"MAN 2 TULUNGAGUNG",533.163,"JAWA TIMUR","KAB. TULUNGAGUNG","MA"
485,370,20580044,"MAN 1 KOTA KEDIRI",533.141,"JAWA TIMUR","KOTA KEDIRI","MA"
486,70,69880982,"SMA BINA INSAN MANDIRI",533.051,"JAWA TIMUR","KAB. NGANJUK","SMA"
487,237,10403985,"SMA NEGERI 1 PEKANBARU",532.767,"RIAU","KOTA PEKANBARU","SMA"
488,244,20268809,"SMAS IT NURURRAHMAN",532.756,"JAWA BARAT","KOTA DEPOK","SMA"
489,-66,20361201,"SMAS INSAN CENDIKIA AL-MUJTABA",532.745,"JAWA TENGAH","KAB. SUKOHARJO","SMA"
490,-138,10310795,"SMAN 3 PAINAN",532.667,"SUMATERA BARAT","KAB. PESISIR SELATAN","SMA"
491,-16,30401490,"SMAN 2 BALIKPAPAN UTARA",532.654,"KALIMANTAN TIMUR","KOTA BALIKPAPAN","SMA"
492,NA,20603372,"SMAS PRAMITA CURUG",532.641,"BANTEN","KAB. TANGERANG","SMA"
493,84,20219324,"SMAN 9 BANDUNG",532.629,"JAWA BARAT","KOTA BANDUNG","SMA"
494,239,30401786,"SMAN 1 BONTANG",532.486,"KALIMANTAN TIMUR","KOTA BONTANG","SMA"
495,NA,20219790,"SMAS LABORATORIUM - PERCONTOHAN UPI",532.451,"JAWA BARAT","KOTA BANDUNG","SMA"
496,NA,20532163,"SMAS MUHAMMADIYAH 2",532.362,"JAWA TIMUR","KOTA SURABAYA","SMA"
497,218,20363090,"MAS NU BANAT KUDUS",532.341,"JAWA TENGAH","KAB. KUDUS","MA"
498,-99,20302169,"SMAN 5 PURWOKERTO",532.267,"JAWA TENGAH","KAB. BANYUMAS","SMA"
499,307,20301902,"SMKS TELEKOMUNIKASI SANDHY PUTRA PURWOKERTO",532.109,"JAWA TENGAH","KAB. BANYUMAS","SMK"
500,-146,10702412,"SMAN 5 BENGKULU",531.998,"BENGKULU","KOTA BENGKULU","SMA"
501,66,11000433,"SMAN 1 TANJUNGPINANG",531.991,"KEPULAUAN RIAU","KOTA TANJUNGPINANG","SMA"
502,167,20200685,"SMAN 1 CIAWI BOGOR",531.871,"JAWA BARAT","KAB. BOGOR","SMA"
503,-278,20219248,"SMAN 24 BANDUNG",531.852,"JAWA BARAT","KOTA BANDUNG","SMA"
504,26,20507726,"SMAN 1 GEGER",531.729,"JAWA TIMUR","KAB. MADIUN","SMA"
505,249,20102569,"SMAN 74 JAKARTA",531.701,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
506,59,11002199,"SMAN 5 BATAM",531.643,"KEPULAUAN RIAU","KOTA BATAM","SMA"
507,205,69965701,"SMAIT ABU BAKAR BOARDING SCHOOL KULON PROGO",531.593,"DI YOGYAKARTA","KAB. KULON PROGO","SMA"
508,NA,20606502,"SMAS ASY SYUKRIYAH",531.526,"BANTEN","KOTA TANGERANG","SMA"
509,NA,20515429,"SMAN 1 NGUNUT",531.382,"JAWA TIMUR","KAB. TULUNGAGUNG","SMA"
510,NA,69977851,"MA ISLAM TERPADU DARUL FIKRI",531.339,"JAWA TIMUR","KAB. SIDOARJO","MA"
511,NA,70008990,"SMA ISLAM AL AZHAR 22",531.28,"JAWA BARAT","KAB. BEKASI","SMA"
512,75,20224136,"SMK NEGERI 1 CIMAHI",531.163,"JAWA BARAT","KOTA CIMAHI","SMK"
513,-144,20200885,"SMAN 1 CIBINONG",531.153,"JAWA BARAT","KAB. BOGOR","SMA"
514,241,20501700,"SMAN 4 SIDOARJO",530.942,"JAWA TIMUR","KAB. SIDOARJO","SMA"
515,-181,20309684,"SMAN 1 CAWAS",530.862,"JAWA TENGAH","KAB. KLATEN","SMA"
516,NA,10210858,"SMAN 5 MEDAN",530.858,"SUMATERA UTARA","KOTA MEDAN","SMA"
517,-17,20219249,"SMAN 23 BANDUNG",530.842,"JAWA BARAT","KOTA BANDUNG","SMA"
518,57,20522640,"SMAN 1 SITUBONDO",530.801,"JAWA TIMUR","KAB. SITUBONDO","SMA"
519,-21,20300727,"SMA NEGERI 3 CILACAP",530.714,"JAWA TENGAH","KAB. CILACAP","SMA"
520,-259,20532244,"SMAN 11 SURABAYA",530.701,"JAWA TIMUR","KOTA SURABAYA","SMA"
521,186,20219720,"SMAS DARUL HIKAM BANDUNG",530.541,"JAWA BARAT","KOTA BANDUNG","SMA"
522,341,20517737,"SMAN 1 TUREN",530.499,"JAWA TIMUR","KAB. MALANG","SMA"
523,-44,20221561,"SMAN 3 SUKABUMI",530.474,"JAWA BARAT","KOTA SUKABUMI","SMA"
524,7,20339023,"SMA NEGERI 2 PATI",530.461,"JAWA TENGAH","KAB. PATI","SMA"
525,-170,10601344,"SMAN 4 LAHAT",530.438,"SUMATERA SELATAN","KAB. LAHAT","SMA"
526,-78,20501784,"SMAN 1 KRIAN",530.39,"JAWA TIMUR","KAB. SIDOARJO","SMA"
527,153,20404175,"SMAS PANGUDI LUHUR",530.344,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
528,-100,20280604,"SMAS FUTURE GATE",530.321,"JAWA BARAT","KOTA BEKASI","SMA"
529,85,20102211,"SMAN 43 JAKARTA",530.316,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
530,23,20401125,"SMAN 1 SEYEGAN",530.296,"DI YOGYAKARTA","KAB. SLEMAN","SMA"
531,-165,20223033,"SMAN 2 BEKASI",530.258,"JAWA BARAT","KOTA BEKASI","SMA"
532,78,20103787,"SMKN 26 JAKARTA",530.234,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMK"
533,-80,20323399,"SMA NEGERI 1 KEDUNGWUNI",530.205,"JAWA TENGAH","KAB. PEKALONGAN","SMA"
